2018-12-08T05:12:08+00:00,cf7e93e097,24160
2018-12-07T23:41:58+00:00,70ef1311bb,24159
2018-12-06T23:50:19+00:00,3a0a1996d2,24123
2018-12-05T23:50:25+00:00,8a7d40451f,24097
2018-12-04T23:52:00+00:00,ce1c4fb09e,24078
2018-12-03T22:55:13+00:00,d7c85ba9a4,24062
2018-12-02T23:40:03+00:00,c06f2c599a,24031
2018-12-01T23:56:50+00:00,177b3842e5,24002
2018-11-30T23:55:09+00:00,801426056b,23989
2018-11-29T23:53:45+00:00,993cb1d15f,23965
2018-11-28T23:54:21+00:00,ca59b99f8a,23940
2018-11-27T23:59:55+00:00,b6386b4a56,23912
2018-11-26T23:34:36+00:00,8c6f5c1cf5,23894
2018-11-25T23:54:26+00:00,bf636d3fbf,23872
2018-11-24T23:44:05+00:00,c699bbada8,23857
2018-11-23T23:42:35+00:00,316b6213c0,23831
2018-11-22T23:49:13+00:00,4fa5bc45b3,23807
2018-11-21T23:34:11+00:00,e6c7367897,23779
2018-11-20T23:35:28+00:00,6a55280f3c,23747
2018-11-19T23:52:08+00:00,033df1a2c7,23730
2018-11-18T23:56:42+00:00,f37755d3a7,23707
2018-11-17T23:39:47+00:00,092dc5fd7c,23666
2018-11-16T23:57:07+00:00,9cb801882e,23643
2018-11-15T23:52:46+00:00,20967b68e6,23625
2018-11-14T23:49:45+00:00,40d600c94d,23606
2018-11-13T23:59:39+00:00,b9afdf4042,23585
2018-11-12T23:18:17+00:00,45348728ea,23555
2018-11-11T23:57:28+00:00,dd49f684f0,23521
2018-11-10T23:22:02+00:00,1585c23dfa,23485
2018-11-09T23:55:45+00:00,2453724eba,23459
2018-11-08T23:36:52+00:00,3ef59d1f5d,23443
2018-11-07T23:54:49+00:00,3a8f0e8cc8,23411
2018-11-06T23:56:26+00:00,d64fc60349,23399
2018-11-05T23:59:05+00:00,791cb56c0d,23365
2018-11-04T23:30:23+00:00,0ad3a2ce48,23344
2018-11-03T23:34:49+00:00,ad323cc249,23324
2018-11-02T23:49:26+00:00,101c371c25,23302
2018-11-01T23:47:40+00:00,f3e7ec50ee,23229
2018-10-31T23:37:39+00:00,c4b4dfd94a,23188
2018-10-30T23:57:03+00:00,4dfdfb9c7f,23153
2018-10-29T23:59:13+00:00,35bee8918c,23124
2018-10-28T23:56:34+00:00,1998db0e72,23096
2018-10-27T23:12:51+00:00,118fe831e7,23074
2018-10-26T23:44:48+00:00,e7f4be0417,23053
2018-10-25T23:50:56+00:00,39e783a03b,23026
2018-10-24T23:58:12+00:00,2a6c9013af,22994
2018-10-23T23:51:08+00:00,852324419b,22959
2018-10-22T23:53:07+00:00,1072bd5c0e,22934
2018-10-21T23:11:56+00:00,65e625b811,22903
2018-10-20T23:52:25+00:00,ab29713902,22865
2018-10-19T23:46:11+00:00,3a26f1dc91,22838
2018-10-18T23:50:53+00:00,60b24bebdc,22809
2018-10-17T23:57:07+00:00,68d068492f,22788
2018-10-16T23:52:46+00:00,d4c41ff368,22758
2018-10-15T18:38:48-06:00,65999e39e4,22734
2018-10-14T23:48:45+00:00,d44bc9688e,22701
2018-10-13T23:58:52+00:00,026f0d5126,22654
2018-10-12T23:52:25+00:00,8cc45518c3,22599
2018-10-11T23:45:22+00:00,a8fe720de8,22578
2018-10-10T23:14:51+00:00,afd70ea411,22549
2018-10-09T23:59:22+00:00,266f47d789,22520
2018-10-08T23:47:19+00:00,e8c2db9b94,22496
2018-10-07T23:33:59+00:00,0cf9838d8c,22478
2018-10-06T23:47:37+00:00,52743e85fc,22458
2018-10-05T23:16:59+00:00,a33dbea185,22442
2018-10-04T23:41:25+00:00,245c2f4a89,22420
2018-10-03T23:39:24+00:00,202d2dbb0b,22356
2018-10-02T23:59:36+00:00,8ffc0b9219,22312
2018-10-01T23:25:25+00:00,a51f8eecc8,22282
2018-09-30T23:44:30+00:00,9b96a7125d,22258
2018-09-29T23:55:43+00:00,4f84d324d5,22242
2018-09-28T23:41:18+00:00,d9250dc9ab,22212
2018-09-27T23:35:17+00:00,aeb748da46,22189
2018-09-26T23:53:15+00:00,1c1e47ab49,22163
